

Datum	Startzeit	Endzeit	Gruppe	VT Praktikum Nr.	Bemerkungen
24.02.2021		12:22:36	Daniel_Validierung		Versuchstagsbemerkung

Rohstoff		
Rohstoffdichte		
Schüttdichte		
Masse		
Volumen		
Sauter-Durchmesser		
Festbett-Porösität		

Zeitstempel	Druck in bar	Volumenstrom in l/min	Versuchsbeobachtung
12:21:24	0,9787	0,0362	
12:21:24	0,9797	0,0427	
12:21:25	0,9795	0,0491	
12:21:26	0,9789	0,0362	
12:21:27	0,9795	0,0427	
12:21:28	0,9795	0,0362	
12:21:29	0,9787	0,0427	
12:21:30	0,9784	0,0427	
12:21:31	0,9787	0,1522	
12:21:32	0,9784	-0,0089	
12:21:33	0,9784	0,0427	
12:21:34	0,9784	0,0362	
12:21:35	0,9784	0,0620	
12:21:36	0,9795	0,0040	
12:21:37	0,9784	0,0298	
12:21:38	0,9784	0,1071	
12:21:40	0,9795	0,4359	
12:21:41	0,9792	0,7002	
12:21:42	0,9795	0,9129	
12:21:43	0,9792	1,4544	
12:21:44	0,9795	2,3697	
12:21:45	0,9805	3,2529	
12:21:46	0,9802	3,6912	
12:21:47	0,9808	3,6267	
12:21:48	0,9815	4,7935	
12:21:49	0,9823	5,5412	
12:21:50	0,9833	6,5211	
12:21:51	0,9846	7,7716	
12:21:52	0,9867	10,0407	
12:21:53	0,9916	17,6730	
12:21:54	0,9939	20,8123	
12:21:55	0,9960	22,9008	
12:21:56	0,9975	26,4849	
12:21:57	0,9975	28,4703	
12:21:58	0,9993	30,9263	
12:21:59	1,0011	33,5177	
12:22:00	1,0019	35,5418	
12:22:01	1,0029	36,8504	
12:22:02	1,0042	38,7907	
12:22:03	1,0050	40,1121	
12:22:04	1,0065	41,6915	
12:22:05	1,0076	43,3546	
12:22:06	1,0089	45,3464	
12:22:07	1,0101	47,3254	
12:22:08	1,0132	49,2270	
12:22:09	1,0138	50,0457	
12:22:10	1,0171	50,0522	
12:22:11	1,0202	50,0457	
12:22:12	1,0199	50,0779	
12:22:13	1,0199	50,0393	
12:22:14	1,0202	50,0135	
12:22:15	1,0202	50,0779	
12:22:16	1,0205	50,0779	
12:22:17	1,0205	50,0199	
12:22:18	1,0202	50,0135	
12:22:19	1,0202	50,0586	
12:22:20	1,0202	50,0393	
12:22:21	1,0197	50,0586	
12:22:22	1,0207	50,0586	
12:22:23	1,0202	50,0264	
12:22:25	1,0202	50,0586	
12:22:26	1,0205	50,0586	
12:22:27	1,0202	50,0199	
12:22:28	1,0199	50,0264	
12:22:29	1,0205	50,0199	
12:22:30	1,0199	50,0908	
12:22:31	1,0207	50,0779	
12:22:32	1,0202	50,0908	
12:22:33	1,0202	50,0844	
12:22:34	1,0205	50,0328	
12:22:35	1,0205	50,0586	
